Year,Year_number,Site_Code,Orchard_Block,Alleyway_Treatment,Section_code,Tree_code,Distance,Blossoms,Fruit_set,Percentage_fuit_set
Year_1,2017,Site_4,Orchard_Block_8,CS,2,1,23.8,,10,
Year_1,2017,Site_4,Orchard_Block_8,CS,2,2,33.3,,10,
Year_1,2017,Site_4,Orchard_Block_8,CS,3,1,42.8,,8,
Year_1,2017,Site_4,Orchard_Block_8,CS,3,2,52.3,,8,
Year_1,2017,Site_4,Orchard_Block_8,CS,4,1,61.8,,10,
Year_1,2017,Site_4,Orchard_Block_8,CS,4,2,71.3,,10,
Year_1,2017,Site_4,Orchard_Block_8,SWS,1,1,4.8,,10,
Year_1,2017,Site_4,Orchard_Block_8,SWS,1,2,14.3,,9,
Year_1,2017,Site_4,Orchard_Block_8,SWS,2,1,23.8,,9,
Year_1,2017,Site_4,Orchard_Block_8,SWS,2,2,33.3,,9,
Year_1,2017,Site_4,Orchard_Block_8,SWS,3,1,42.8,,9,
Year_1,2017,Site_4,Orchard_Block_8,SWS,3,2,52.3,,10,
Year_1,2017,Site_4,Orchard_Block_8,SWS,4,1,61.8,,10,
Year_1,2017,Site_4,Orchard_Block_8,SWS,4,2,71.3,,9,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,1,1,4.8,,8,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,1,2,14.3,,10,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,2,1,23.8,,9,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,2,2,33.3,,9,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,3,1,42.8,,10,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,3,2,52.3,,9,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,4,1,61.8,,7,
Year_1,2017,Site_4,Orchard_Block_8,AMWS,4,2,71.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,CS,1,1,4.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,CS,1,2,14.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,CS,2,1,23.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,CS,2,2,33.3,,8,
Year_1,2017,Site_5,Orchard_Block_9,CS,3,1,42.8,,8,
Year_1,2017,Site_5,Orchard_Block_9,CS,3,2,52.3,,8,
Year_1,2017,Site_5,Orchard_Block_9,CS,4,1,61.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,CS,4,2,71.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,SWS,1,1,4.8,,9,
Year_1,2017,Site_5,Orchard_Block_9,SWS,1,2,14.3,,8,
Year_1,2017,Site_5,Orchard_Block_9,SWS,2,1,23.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,SWS,2,2,33.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,SWS,3,1,42.8,,8,
Year_1,2017,Site_5,Orchard_Block_9,SWS,3,2,52.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,SWS,4,1,61.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,SWS,4,2,71.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,1,1,4.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,1,2,14.3,,8,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,2,1,23.8,,8,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,2,2,33.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,3,1,42.8,,9,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,3,2,52.3,,10,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,4,1,61.8,,10,
Year_1,2017,Site_5,Orchard_Block_9,AMWS,4,2,71.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,CS,1,1,4.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,CS,1,2,14.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,CS,2,1,23.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,CS,2,2,33.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,CS,3,1,42.8,,9,
Year_1,2017,Site_5,Orchard_Block_10,CS,3,2,52.3,,9,
Year_1,2017,Site_5,Orchard_Block_10,CS,4,1,61.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,CS,4,2,71.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,SWS,1,1,4.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,SWS,1,2,14.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,SWS,2,1,23.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,SWS,2,2,33.3,,8,
Year_1,2017,Site_5,Orchard_Block_10,SWS,3,1,42.8,,9,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,1,1,4.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,1,2,14.3,,8,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,2,1,23.8,,10,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,2,2,33.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,3,1,42.8,,9,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,3,2,52.3,,10,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,4,1,61.8,,7,
Year_1,2017,Site_5,Orchard_Block_10,AMWS,4,2,71.3,,10,
Year_2,2018,Site_1,Orchard_Block_1,CS,1,1,4.8,63,9,14.3
Year_2,2018,Site_1,Orchard_Block_1,CS,1,2,14.3,56,7,12.5
Year_2,2018,Site_1,Orchard_Block_1,CS,2,3,23.8,75,23,30.7
Year_2,2018,Site_1,Orchard_Block_1,CS,2,4,33.3,47,20,42.6
Year_2,2018,Site_1,Orchard_Block_1,CS,3,5,42.8,58,7,12.1
Year_2,2018,Site_1,Orchard_Block_1,CS,3,6,52.3,88,5,5.7
Year_2,2018,Site_1,Orchard_Block_1,CS,4,7,61.8,82,4,4.9
Year_2,2018,Site_1,Orchard_Block_1,CS,4,8,71.3,95,34,35.8
Year_2,2018,Site_1,Orchard_Block_1,SWS,1,1,4.8,98,10,10.2
Year_2,2018,Site_1,Orchard_Block_1,SWS,1,2,14.3,82,17,20.7
Year_2,2018,Site_1,Orchard_Block_1,SWS,2,3,23.8,68,2,2.9
Year_2,2018,Site_1,Orchard_Block_1,SWS,2,4,33.3,79,14,17.7
Year_2,2018,Site_1,Orchard_Block_1,SWS,3,5,42.8,71,14,19.7
Year_2,2018,Site_1,Orchard_Block_1,SWS,3,6,52.3,82,16,19.5
Year_2,2018,Site_1,Orchard_Block_1,SWS,4,7,61.8,65,9,13.8
Year_2,2018,Site_1,Orchard_Block_1,SWS,4,8,71.3,51,5,9.8
Year_2,2018,Site_1,Orchard_Block_1,AMWS,1,1,4.8,79,9,11.4
Year_2,2018,Site_1,Orchard_Block_1,AMWS,1,2,14.3,40,10,25
Year_2,2018,Site_1,Orchard_Block_1,AMWS,2,3,23.8,95,21,22.1
Year_2,2018,Site_1,Orchard_Block_1,AMWS,2,4,33.3,78,15,19.2
Year_2,2018,Site_1,Orchard_Block_1,AMWS,3,5,42.8,77,37,48.1
Year_2,2018,Site_1,Orchard_Block_1,AMWS,3,6,52.3,78,7,9
Year_2,2018,Site_1,Orchard_Block_1,AMWS,4,7,61.8,73,32,43.8
Year_2,2018,Site_1,Orchard_Block_1,AMWS,4,8,71.3,42,9,21.4
Year_2,2018,Site_1,Orchard_Block_2,CS,1,1,4.8,88,22,25
Year_2,2018,Site_1,Orchard_Block_2,CS,1,2,14.3,49,3,6.1
Year_2,2018,Site_1,Orchard_Block_2,CS,2,3,23.8,70,17,24.3
Year_2,2018,Site_1,Orchard_Block_2,CS,2,4,33.3,49,6,12.2
Year_2,2018,Site_1,Orchard_Block_2,CS,3,5,42.8,93,27,29
Year_2,2018,Site_1,Orchard_Block_2,CS,3,6,52.3,77,12,15.6
Year_2,2018,Site_1,Orchard_Block_2,CS,4,7,61.8,58,6,10.3
Year_2,2018,Site_1,Orchard_Block_2,CS,4,8,71.3,43,0,0
Year_2,2018,Site_1,Orchard_Block_2,SWS,1,1,4.8,54,12,22.2
Year_2,2018,Site_1,Orchard_Block_2,SWS,1,2,14.3,98,5,5.1
Year_2,2018,Site_1,Orchard_Block_2,SWS,2,3,23.8,83,8,9.6
Year_2,2018,Site_1,Orchard_Block_2,SWS,2,4,33.3,67,8,11.9
Year_2,2018,Site_1,Orchard_Block_2,SWS,3,5,42.8,66,10,15.2
Year_2,2018,Site_1,Orchard_Block_2,SWS,3,6,52.3,57,8,14
Year_2,2018,Site_1,Orchard_Block_2,SWS,4,7,61.8,107,8,7.5
Year_2,2018,Site_1,Orchard_Block_2,SWS,4,8,71.3,70,2,2.9
Year_2,2018,Site_1,Orchard_Block_2,AMWS,1,1,4.8,73,18,24.7
Year_2,2018,Site_1,Orchard_Block_2,AMWS,1,2,14.3,95,6,6.3
Year_2,2018,Site_1,Orchard_Block_2,AMWS,2,3,23.8,94,15,16
Year_2,2018,Site_1,Orchard_Block_2,AMWS,2,4,33.3,89,9,10.1
Year_2,2018,Site_1,Orchard_Block_2,AMWS,3,5,42.8,93,4,4.3
Year_2,2018,Site_1,Orchard_Block_2,AMWS,3,6,52.3,54,1,1.9
Year_2,2018,Site_1,Orchard_Block_2,AMWS,4,7,61.8,55,8,14.5
Year_2,2018,Site_1,Orchard_Block_2,AMWS,4,8,71.3,67,12,17.9
Year_2,2018,Site_2,Orchard_Block_3,CS,1,1,4.8,48,8,16.7
Year_2,2018,Site_2,Orchard_Block_3,CS,1,2,14.3,51,5,9.8
Year_2,2018,Site_2,Orchard_Block_3,CS,2,3,23.8,37,2,5.4
Year_2,2018,Site_2,Orchard_Block_3,CS,2,4,33.3,46,5,10.9
Year_2,2018,Site_2,Orchard_Block_3,CS,3,5,42.8,59,12,20.3
Year_2,2018,Site_2,Orchard_Block_3,CS,3,6,52.3,62,6,9.7
Year_2,2018,Site_2,Orchard_Block_3,CS,4,7,61.8,43,2,4.7
Year_2,2018,Site_2,Orchard_Block_3,CS,4,8,71.3,79,4,5.1
Year_2,2018,Site_2,Orchard_Block_3,SWS,1,1,4.8,45,4,8.9
Year_2,2018,Site_2,Orchard_Block_3,SWS,1,2,14.3,56,12,21.4
Year_2,2018,Site_2,Orchard_Block_3,SWS,2,3,23.8,45,4,8.9
Year_2,2018,Site_2,Orchard_Block_3,SWS,2,4,33.3,57,10,17.5
Year_2,2018,Site_2,Orchard_Block_3,SWS,3,5,42.8,68,1,1.5
Year_2,2018,Site_2,Orchard_Block_3,SWS,3,6,52.3,39,3,7.7
Year_2,2018,Site_2,Orchard_Block_3,SWS,4,7,61.8,58,4,6.9
Year_2,2018,Site_2,Orchard_Block_3,SWS,4,8,71.3,60,1,1.7
Year_2,2018,Site_2,Orchard_Block_3,AMWS,1,1,4.8,64,4,6.3
Year_2,2018,Site_2,Orchard_Block_3,AMWS,1,2,14.3,82,8,9.8
Year_2,2018,Site_2,Orchard_Block_3,AMWS,2,3,23.8,75,0,0
