Year,Year_num,Site_Code,Orchard_Block,Alleyway_treatment,Distance,Section,Total,Richness,Shannon,Honeybee,Buff_tailed_bumblebee,Bumblebee,Solitary_bee,Hoverfly,Blossoms,Fruit_set,Percentage_Fruit_set,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,2017,Site_2,Orchard_Block_4,CS,28.5,Section 19-38,0.666666667,0.509803922,0.078127124,0.235294118,0.235294118,0.058823529,0.078431373,0.058823529,,9,,13.49777778,29.56666667,30.08333333,30.1,76.33333333,2.145
Year_1,2017,Site_2,Orchard_Block_4,CS,47.5,Section 38-57,0.333333333,0.254901961,0.026071791,0.098039216,0.176470588,0,0.058823529,0,,8.5,,11.74823529,28.56470588,29.18235294,28.97058824,66,1.699411765
Year_1,2017,Site_2,Orchard_Block_4,CS,66.5,Section 57-76,0.607843137,0.490196078,0.089241553,0.176470588,0.294117647,0.058823529,0.058823529,0.019607843,,10,,13.1305,28.925,29.5,29.445,71.45,1.5915
Year_1,2017,Site_2,Orchard_Block_4,SWS,9.5,Section 0-19,0.26,0.22,0.025460567,0.12,0.06,0.06,0,0.02,,8.5,,9.917058824,26.43529412,27.01764706,27.01764706,76.94117647,1.517058824
Year_1,2017,Site_2,Orchard_Block_4,SWS,28.5,Section 19-38,0.519230769,0.346153846,0.032235287,0.25,0.230769231,0,0.038461538,0,,9,,12.01722222,27.66111111,28.20555556,28.19444444,66.66666667,1.735
Year_1,2017,Site_2,Orchard_Block_4,SWS,47.5,Section 38-57,0.345454545,0.236363636,0.017277646,0.163636364,0.127272727,0.036363636,0,0.018181818,,9,,12.95722222,27.78888889,28.22777778,28.32777778,64.72222222,2.188333333
Year_1,2017,Site_2,Orchard_Block_4,SWS,66.5,Section 57-76,0.255319149,0.234042553,0.014747812,0.021276596,0.191489362,0,0.042553191,0,,8.5,,12.44588235,29.53529412,30.08235294,30.00588235,66.05882353,1.88
Year_1,2017,Site_3,Orchard_Block_5,AMWS,9.5,Section 0-19,1.156862745,0.490196078,0.008834534,1.117647059,0,0.039215686,0,0,,9.5,,13.02210526,29.7,30.30526316,25.86315789,57.10526316,1.693157895
Year_1,2017,Site_3,Orchard_Block_5,AMWS,28.5,Section 19-38,0.862745098,0.431372549,0.034022087,0.784313725,0,0.019607843,0.019607843,0.039215686,,9.5,,12.18263158,29.42105263,29.14210526,25.66315789,65.47368421,1.705263158
Year_1,2017,Site_3,Orchard_Block_5,AMWS,47.5,Section 38-57,0.882352941,0.431372549,0.013591121,0.784313725,0.019607843,0.019607843,0.039215686,0.019607843,,10,,12.8895,29.62,30.035,26.025,59.35,1.8125
Year_1,2017,Site_3,Orchard_Block_5,AMWS,66.5,Section 57-76,1.117647059,0.549019608,0.026071791,0.980392157,0.019607843,0.058823529,0.058823529,0,,9,,13.31222222,31.07777778,30.41111111,26.21111111,61.88888889,2.143888889
Year_1,2017,Site_3,Orchard_Block_5,CS,9.5,Section 0-19,1.568627451,0.529411765,0.04957864,1.490196078,0,0,0.058823529,0.019607843,,9.5,,12.33578947,29.58947368,29.48947368,25.88947368,64.47368421,1.544210526
Year_1,2017,Site_3,Orchard_Block_5,CS,28.5,Section 19-38,0.823529412,0.431372549,0.026071791,0.764705882,0,0.019607843,0.019607843,0.019607843,,9.5,,10.65684211,28.02631579,28.09473684,24.63157895,68.57894737,1.836315789
Year_1,2017,Site_3,Orchard_Block_5,CS,47.5,Section 38-57,0.882352941,0.37254902,0.023506849,0.843137255,0,0,0.039215686,0,,9,,12.11111111,29.18333333,29.04444444,25.73333333,57.44444444,1.326666667
Year_1,2017,Site_3,Orchard_Block_5,CS,66.5,Section 57-76,0.921568627,0.490196078,0.013591121,0.901960784,0,0,0,0.019607843,,10,,13.3375,30.085,30.565,26.54,65.5,2.0495
Year_1,2017,Site_3,Orchard_Block_5,SWS,9.5,Section 0-19,1.823529412,0.666666667,0.05814783,1.666666667,0.019607843,0.019607843,0.019607843,0.098039216,,10,,12.6385,29.79,29.9,25.725,53.8,1.614
